Title,Year,Rating,Cast,Genre
A Nightmare on Elm Street 3: Dream Warriors,1987,71%,"Heather Langenkamp, Patricia Arquette, Craig Wasson, Larry Fishburne",Horror
Phenomena,1985,76%,"Jennifer Connelly, Donald Pleasence, Dalila Di Lazzaro, Fausta Avelli",Horror
Bram Stoker's Dracula,1992,76%,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves",Horror
Hellraiser,1987,72%,"Andrew Robinson, Clare Higgins, Ashley Laurence, Sean Chapman",Horror
It's Alive!,1974,70%,"John P. Ryan, Sharon Farrell, Andrew Duggan, Guy Stockwell",Horror
Jacob's Ladder,1990,73%,"Tim Robbins, Elizabeth Peña, Danny Aiello, Matt Craven",Horror
Open Water,2003,71%,"Blanchard Ryan, Daniel Travis, Saul Stein, Estelle Lau",Horror
The Mist,2007,72%,"Thomas Jane, Marcia Gay Harden, Laurie Holden, Andre Braugher",Horror
The Ring,2002,71%,"Naomi Watts, Martin Henderson, David Dorfman, Brian Cox",Horror
Phantasm,1979,74%,"Michael Baldwin, Bill Thornbury, Reggie Bannister, Kathy Lester",Horror
Frailty,2002,75%,"Bill Paxton, Matthew McConaughey, Powers Boothe, Matt O'Leary",Horror
Dog Soldiers,2002,80%,"Sean Pertwee, Kevin McKidd, Emma Cleasby, Liam Cunningham",Horror
Basket Case,1982,76%,"Kevin Van Hentenryck, Terri Susan Smith, Beverly Bonner",Horror
Eden Lake,2008,80%,"Finn Atkins, Michael Fassbender, James Gandhi, Thomas Gill",Horror
Candyman,1992,78%,"Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons",Horror
Oculus,2013,75%,"Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane",Horror
Land of the Dead,2005,74%,"Simon Baker, John Alberto Leguizamo, Asia Argento, Robert Joy",Horror
Night of the Comet,1984,79%,"Catherine Mary Stewart, Kelli Maroney, Robert Beltran, Geoffrey Lewis",Horror
Wes Craven's New Nightmare,1994,78%,"Robert Englund, Heather Langenkamp, Miko Hughes, David Newsom",Horror
Trick 'r Treat,2007,84%,"Anna Paquin, Brian Cox, Dylan Baker, Leslie Bibb",Horror
The Lost Boys,1987,75%,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes",Horror
The Lodge,2019,74%,"Riley Keough, Jaeden Lieberher, Lia McHugh, Richard Armitage",Horror
Scream,1996,79%,"Neve Campbell, David Arquette, Courteney Cox, Matthew Lillard",Horror
Southbound,2015,81%,"Chad Villella, Matt Bettinelli-Olpin, Kristina Pesic, Fabianne Therese",Horror
Lights Out,2016,75%,"Teresa Palmer, Gabriel Bateman, Alexander DiPersia, Billy Burke",Horror
The Platform,2019,79%,"Emilio Buale, Zorion Eguileor, Alexandra Masangkay, Ivan Massagué",Horror
The Brood,1979,85%,"Oliver Reed, Samantha Eggar, Art Hindle, Henry Beckman",Horror
The Cat o' Nine Tails,1971,82%,"Karl Malden, James Franciscus, Catherine Spaak, Cinzia De Carolis",Horror
Mute Witness,1995,83%,"Mary Sudina, Fay Ripley, Evan Richards, Oleg Yankovsky",Horror
You're Next,2011,79%,"Sharni Vinson, Nicholas Tucci, Wendy Glenn, A.J. Bowen",Horror
Videodrome,1983,79%,"James Woods, Deborah Harry, Sonja Smits, Peter Dvorsky",Horror
Thirst,2009,80%,"Song Kang-ho, Kim Ok-bin, Shin Ha-kyun, Kim Hae-sook",Horror
